cid,category,carry_on,checked,names,detail,times
82,"Guns, firearms and other devices that discharge projectile",0,1,"accelerator, artillery, onager, heavy weapon, hand gun, accelerator pedal, reave, fore, gun, despoil, defer, submit, gun for hire, revolvers, pillage, bowknot, pistols, accede, go, shooting iron, loot, ordnance, slingshot, foray, scattergun, triggerman, spear gun, launcher, revolving door, handgun, sling, ransack, six-gun, trebucket, give in, six-shooter, stoop, rifle, arc, shooter, gun lighter, catapult, arbalest, trebuchet, ballista, rifles, hired gun, cross bow, harpoon gun, arbalist, revolver, side arm, firearms of all types, bowing, shotgun, ball bearing gun, gunman, signal flare pistols, curtain call, pointer, hitman, plunder, pistol, bricole, prow, crouch, bend, stem, toy gun, bow down, gas, arrow, gunslinger, component parts of firearms (excluding telescopic sights), starter pistols, hit man, strip, gas pedal, pellet guns, bow, mangonel, torpedo, throttle, obeisance, grease-gun, compressed air and CO2 guns","Devices designed to cause serious injury by discharging a projectile, or capable of being mistaken for such devices",0
83,眩暈裝置,0,1,電擊裝置、動物電擊器、電槍、黑胡椒、電擊短棒、胡椒、酸性噴劑、梅斯催淚毒氣、動物屠宰器、辣椒噴劑、催淚氣體、動物驅除噴劑,經專門設計以使人昏暈或不能動彈的裝置,0
84,Stunning devices,0,1,"accelerator, capsicum, gasolene, Chemical Mace, sprays, animal stunners, teargas, Mace, gases, gaseous state, sprayer, stun gun, spray, nebuliser, capsicum pepper plant, animal repellent sprays, macer, peppercorn, lachrymator, disabling and incapacitating chemicals, gas, pelt, atomizer, mace, capsicum spray, petrol, brag, acid sprays, flatulence, swash, macebearer, gas pedal, spraying, boast, accelerator pedal, Madagascar pepper, nebulizer, natural gas, devices for shocking, gun, Piper nigrum, blow, gasconade, throttle, lacrimator, tear gas, atomiser, pepper, stun guns, common pepper, black pepper, stun batons, stun baton, shoot a line, flatulency, gasoline, vaunt, bluster, white pepper, animal killers, tout",Devices designed specifically to stun or immobilize,0
85,附有尖點或銳邊的物體,0,1,剃刀刀片、軍刀、斧子、劍、碎冰錐、切肉大刀、多功能小刀、溜冰鞋、冰鎬、斧、可鎖定摺疊刀、短柄小斧、斧頭、開箱刀、砍肉刀、開式剃刀、菜刀、彈簧摺刀、切肉刀、太平斧、滑雪用手杖、破冰斧、標槍、武術器械、冰鞋、飛鏢、刀,附有尖點或銳邊的物體，而該物體可造成人身嚴重傷害,0
86,Objects with sharp points or sharp edges,0,1,"flit, flutter, Axis, catchweed, tomahawk, clivers, axis, sword, Galium aparine, ski poles, meat cleaver, chopper, ice axe, cavalry sword, martial arts equipment, cleaver, ice axes, dash, blade, flash, fleet, axe, ax, open razors, knife, stab, dart, axes, utility knives and box cutters, razor blades, bloc, ice skates, knives, axis vertebra, tongue, kitchen knife, ice ax, ice picks, goose grass, ski pole, saber, scoot, swords, sabre, shoot, hatchets, axis of rotation, piolet, steel, darts, icepick, ice pick, ice skate, brand, spring cleavers, scud, hatchet, cleavers",Objects with a sharp point or sharp edge capable of being used to cause serious injury,0
87,剪刀,0,1,剪刀,由支點開始量度的刀刃長度超過6 厘米的剪刀不能放在手提行李中,0
88,scissor,0,1,"scissors, scissor, scissor hold, scissors hold, scissors grip, pair of scissors, scissor grip",scissors with blades of more than 6cm as measured from the fulcrum,0
89,附有刀刃或附有長度大於6 厘米的軸杆並能被用作武器的工具,0,1,螺絲批、鑿,,0
90,martial arts equipment with sharp points or sharp edges,0,1,"cheat, chisel, rip off, screwdriver",,0
91,工具,0,1,鑷子、帶鋸、便攜式無線電鑽、榔頭、士巴拿、钳子、电钻、哑铃、鋸、電鑽、鉆、扳手、啞鈴、釘槍、扳鉗、鉗子、打釘機、橇棍、鉆頭、推膛式槍、鎚子、噴燈、錘子、便攜式無線電鋸,可造成人身嚴重受傷或威脅航空器安全的工具不能放到隨身行李中，只能採用寄艙行李的方式,0
92,Worker's tools,0,1,"plyers, pounding, proverb, dope, exercise, pry bar, pull, wrench, wrecking bar, power hammer, screwdriver, turn, saw, dumbbell, saws, wrick, dummy, recitation, cordless portable power drill, cheat, booby, rick, drilling bit, adage, twist, pair of pliers, plyer, cordless portable power saw, byword, rip off, plier, drill, boob, malleus, Mandrillus leucophaeus, hammer, pry, bore, sawing machine, spanner, nail guns, blowtorche, bolt guns, practice session, practise, crowbar, power saw, forge, pliers, drill bit, hammering, pinhead, practice, chisel, electric drill, mallet, pound, wring, sprain, cock",Tools capable of being used either to cause serious injury or to threaten the safety of aircraft,0
93,鈍頭器械,0,1,短彈簧棍、警棍、高爾夫球杆、曲棍球球杆、板球棒、包革金屬警棍、棒球比賽、球棒、庫巴桑、短棒、指節銅環、鐵蓮花、帶枷棍具、壘球棒、指節銅套、美式警棍、包鐵粗杖、球桿、球杆、雙節棍、球拍、桌球、棒球、長曲棍球球杆、板球球拍、大頭棒、武術器械、棍棒、鑰匙短棒,,0
94,Blunt instruments,0,1,"society, cabaret, social club, cosh, kubasaunts, bludgeon, cricket bats, night club, hockey sticks, kubatons, billy, pool cue, cue, billiard, lacrosse sticks, nightclub, baseball bat, knuckleduster, martial arts equipment, sap, baseball club, hockey stick, pool stick, wand, cricket bat, num chucks, softball bat, lumber, coshes, gild, golf club, golf clubs, night sticks, billystick, nightstick, clubs, clubhouse, baton, nightspot, order, blackjack, rice flails, lodge, cue stick, guild, truncheon, club, ball club, honckey, billy club, pool cues, golf-club, nine, bat",,0
95,日常生活用品,1,1,傘、雨傘,,0
96,Unrestricted daily supplies,1,1,umbrella,,0
